"ToyDescription","BrandId","SalesPrice","PurchasePrice","VendorName","VendorId"
"KRE-O TRANSFORMERS STARSCREAM Construction Set",44849,34.99,24.23,"Hasbro",24967
"NERF N-STRIKE ELITE HAIL-FIRE",16567,40.59,27.91,"Hasbro",24967
"Transformers Generations Legends Class Starscream and Waspinator Figures",74867,11.99,8.22,"Hasbro",24967
"Marvel Legends Series 3.75in Iron Man",20246,12.99,9.21,"Hasbro",24967
"Marvel Legends Series 3.75in Iron Man",78708,12.99,8.77,"Hasbro",24967
"Transformers Generations Combiner Wars Voyager Class Protectobot Hot Spot Figure",49240,26.99,18.83,"Hasbro",24967
"Star Wars Darth Vader Force FX Lightsaber with Removable Blade",54895,149.99,101.05,"Hasbro",24967
"Play-Doh Disney Makeables Set Featuring Minnie Mouse",98034,19.89,13.95,"Hasbro",24967
"Nerf N-Sports Nerfoop Set (Green)",94980,8.99,6.27,"Hasbro",24967
"MARVEL Universe MARVEL'S Greatest Battles Comic Packs WOLVERINE and CAPTAIN AMERICA",50502,14.99,10.31,"Hasbro",24967
"TONKA CHUCK AND FRIENDS CHUCK THE DUMP TRUCK",97179,5.95,4.21,"Hasbro",24967
"Spider-Man Armored Spider Man 2",19771,10.92,7.79,"Hasbro",24967
"Transformers Robots in Disguise Mini-Con Deployers Decepticon Fracture and Airazor",27336,19.99,13.59,"Hasbro",24967
"MARVEL THE AVENGERS Comic Series CAPTAIN AMERICA Aerial Infiltration Mission Figure",65434,22.42,15.07,"Hasbro",24967
"Littlest Pet Shop Sunny Showers Pets Multipack",3051,15.99,10.82,"Hasbro",24967
"THE AMAZING SPIDER-MAN Movie Series Sewer Clash Set",38068,21.99,15.18,"Hasbro",24967
"New Furby Boom (Triangles)",85731,64.99,45.72,"Hasbro",24967
"Transformers: Robots in Disguise Transformers Warriors Sideswipe",83107,15.99,11.29,"Hasbro",24967
"Transformers Generations Combiner Wars Deluxe Class Prowl Figure",96032,18.99,13.13,"Hasbro",24967
"Star Wars Episode VII Black Series Titanium Resistance X-Wing",33097,15,10.65,"Hasbro",24967
"My Little Pony Princess Sterling and Fluttershy Figures",86488,14.99,10.05,"Hasbro",24967
"FURBY (Teal)",52983,64.99,45.89,"Hasbro",24967
"BEYBLADE METAL MASTERS PERFORMANCE TOP SYSTEM FLAME SERPENT Top",39629,11.99,8.26,"Hasbro",24967
"STAR WARS GENERAL GRIEVOUS Electronic Helmet",31962,25.99,18.51,"Hasbro",24967
"Kre-O Transformers Micro-Changers Combiners Decepticon Bruticus Set",89452,10.99,7.39,"Hasbro",24967
"Playskool Wobble 'n Go Friends Bug",89614,0.39,0.27,"Hasbro",24967
"Nerf Sports Bash Ball (Silver)",30410,12.99,8.77,"Hasbro",24967
"Marvel Super Hero Mashers Green Goblin Figure",36853,10.99,7.5,"Hasbro",24967
"Marvel Ultimate Spider-Man Web Warriors Ultimate Spider-Man Color Shock Slinger",43041,21.99,15.04,"Hasbro",24967
"KRE-O Dungeons & Dragons KREON Warriors Drizzt KREON Set",48320,59.59,41.44,"Hasbro",24967
"Marvel Legends Infinite Series Savage Force Kraven",84661,21.99,14.74,"Hasbro",24967
"Marvel Super Hero Mashers Micro Hulk and Loki 2 Pack",8632,11.99,8.25,"Hasbro",24967
"Play-Doh Star Wars Luke Skywalker and R2-D2 Can-Heads",35512,7.99,5.53,"Hasbro",24967
"Transformers Robots in Disguise Legion Class Alpine Strike Sideswipe Figure",83422,8.99,6.38,"Hasbro",24967
"Playmation Marvel Avengers Super Adaptoid Villain Smart Figure",89460,14.99,10.26,"Hasbro",24967
"SpongeBob SquarePants Operation Game",43692,21.99,14.8,"Hasbro",24967
"DohVinci Custom Clock Design Kit",75010,19.99,13.37,"Hasbro",24967
"Star Wars Hero Mashers Episode VI C-3PO",64301,14.99,10.17,"Hasbro",24967
"Playskool Heroes Jurassic World Dino Tracker Helicopter",64366,19.99,13.75,"Hasbro",24967
"DohVinci Sparkle Frame Kit",42009,7.21,4.98,"Hasbro",24967
"POUND PUPPIES TIME FOR SNACKS PUP Set",68225,14.99,10.55,"Hasbro",24967
"Nerf Rebelle Charmed Grace Fire Blaster",29421,6.99,4.9,"Hasbro",24967
"Star Wars The Legacy Collection -- Episode III: Concept Art Anakin Skywalker",39433,68.22,48.01,"Hasbro",24967
"Baby Alive Doll Food Pack",90579,17.42,12.4,"Hasbro",24967
"Baby Alive My Baby All Gone Doll",12676,349.99,233.74,"Hasbro",24967
"Marvel Guardians of the Galaxy Rocket Raccoon Action Mask",31477,21.99,15.02,"Hasbro",24967
"STAR WARS THE PHANTOM MENACE THE VINTAGE COLLECTION DAULTAY DOFINE Figure",26357,14.99,10.1,"Hasbro",24967
"DohVinci Sparkle Deco Pop Refill 6-Pack",75805,3,2.1,"Hasbro",24967
"Marvel Avengers Assemble Thunder Axe Thor Figure",52928,10.99,7.54,"Hasbro",24967
"Transformers Hero Mashers Dinobot Slug Figure",30564,16.99,11.96,"Hasbro",24967
"Star Wars Attack of the Clones Kit Fisto",8620,24.97,17.02,"Hasbro",24967
"Marvel Universe Ghost Rider Figure",764,27.95,19.92,"Hasbro",24967
"Marvel Universe Ghost Rider Figure",61164,27.95,19.43,"Hasbro",24967
"Furreal Friends Daisy Plays-With-Me Kitty Toy",42648,49.99,35.51,"Hasbro",24967
"Transformers Age of Extinction Generations Deluxe Class High Octane Bumblebee Figure",7558,16.99,11.82,"Hasbro",24967
"Play-Doh Royal Palace Featuring Disney Princess",96689,19.99,14.18,"Hasbro",24967
"BEYBLADE METAL MASTERS BEYBLADER TEAM PACKS TEAM EXCALIBUR Pack",80136,249.99,167.33,"Hasbro",24967
"Marvel Avengers Thor Battle Hammer",78638,14.66,10.26,"Hasbro",24967
"STAR WARS THE CLONE WARS REPUBLIC V-19 TORRENT STARFIGHTER Vehicle",15991,29.99,20.09,"Hasbro",24967
"Playskool Heroes Transformers Rescue Bots Salvage the Construction-Bot Figure",3304,10.99,7.46,"Hasbro",24967
"My Little Pony Friendship is Magic Miss Pommel Runway Show Figure",32369,9.99,6.72,"Hasbro",24967
"Marvel Spider-Man Titan Hero Series Spider-Man 2099 Figure",1338,12.99,9.12,"Hasbro",24967
"Transformers Robots in Disguise Warrior Class Grimlock Figure",59131,19.99,13.77,"Hasbro",24967
"Marvel Spider-Man Titan Hero Series Agent Venom Figure",58237,9.99,6.94,"Hasbro",24967
"NERF SUPER SOAKER FLASH BLAST Water Blaster",71100,9.99,7,"Hasbro",24967
"Star Wars A New Hope Darth Vader Electronic Lightsaber",86270,21.99,15.4,"Hasbro",24967
"Nerf Super Soaker Zombie Strike Dreadshot Blaster",96299,19.99,14.15,"Hasbro",24967
"Star Wars Episode VII Black Series Titanium First Order Special Forces TIE Fighter",24838,4.99,3.56,"Hasbro",24967
"Marvel Legends Infinite Series Anti-Venom Figure",49617,21.99,14.9,"Hasbro",24967
"STAR WARS ATTACK OF THE CLONES BARRISS OFFEE (JEDI PADAWAN)",73677,12.99,9.19,"Hasbro",24967
"My Little Pony Equestria Girls Rainbow Rocks DJ PON-3 Rockin' Convertible Vehicle",97965,21.99,15.05,"Hasbro",24967
"MARVEL THE AVENGERS Movie Series S.H.I.E.L.D. HELICARRIER Playset",33194,79.99,54.98,"Hasbro",24967
"Marvel Avengers Age of Ultron Hulk Mask",94106,12,8.17,"Hasbro",24967
"MARVEL Super Hero Squad: WOLVERINE and SPIRAL",42323,8.85,6.05,"Hasbro",24967
"Marvel Ultimate Spider-Man Hero FX Glove",9134,15.99,11.12,"Hasbro",24967
"Star Wars R5-D4",78145,10.99,7.45,"Hasbro",24967
"LITE-BRITE LED Flat Screen (Boys)",25244,19.99,13.81,"Hasbro",24967
"THOR The Mighty Avenger Lightning Hammer",3807,14.49,9.82,"Hasbro",24967
"G.I. JOE RETALIATION SNAKE EYES NINJA GEAR",98533,29.99,20.27,"Hasbro",24967
"Littlest Pet Shop Pet Pawsabilities Gunther Moody & Gertrude Catterson",29406,12.39,8.36,"Hasbro",24967
"Littlest Pet Shop Pet Pawsabilities Gunther Moody & Gertrude Catterson",48306,12.39,8.66,"Hasbro",24967
"Transformers Generations Deluxe Class Autobot Skids Figure",90262,16.99,11.58,"Hasbro",24967
"BEYBLADE BEYWHEELZ DRAGO TRICK TERRAIN Arena",49019,6.96,4.85,"Hasbro",24967
"Star Wars The Clone Wars Clone Commander Wolffe",63417,55,39.02,"Hasbro",24967
"TRANSFORMERS Generations Deluxe Class THUNDERCRACKER",52990,16.99,11.51,"Hasbro",24967
"Marvel Legends Infinite Series Marvel's Wasp",87155,21.99,15.68,"Hasbro",24967
"BEYBLADE EXTREME TOP SYSTEM STEALTH BATTLERS X-203 CETUS QUAKE Top",77707,49.99,35.34,"Hasbro",24967
"Jurassic World Chompers Tyrannosaurus Rex Figure",90518,11.47,7.88,"Hasbro",24967
"Playskool Heroes Marvel Super Hero Adventures Arachno-Blade Copter Vehicle with Big Time Spider-Man",66503,16.99,11.59,"Hasbro",24967
"My Little Pony Cutie Mark Magic Flower Wishes Figure",59931,9.99,6.79,"Hasbro",24967
"Nerf N-Strike Elite Nerf Cam ECS-12 Blaster",64967,79.99,54.08,"Hasbro",24967
"My Little Pony Equestria Girls Rainbow Rocks Twilight Sparkle and Spike the Puppy Set",20206,0.98,0.66,"Hasbro",24967
"Angry Birds Transformers Jenga Heatwave the Fire-Bot Bird Game",68459,19.99,13.8,"Hasbro",24967
"Jenga Tetris",7485,16.99,11.33,"Hasbro",24967
"Star Wars The Force Awakens Micro Machines First Order Stormtrooper Playset",95941,19.99,14.14,"Hasbro",24967
"Star Wars The Black Series 6 Inch Finn (Jakku)",32244,14.99,10.52,"Hasbro",24967
"Spider-Man - Battle Glider Black Costume Spider-Man",87964,34.98,24.3,"Hasbro",24967
"BABY ALIVE BABY WANNA WALK African American Doll",3521,129.4,87.19,"Hasbro",24967
"Nerf Rebelle Secrets & Spies Mini Mischief Blaster",11191,9.44,6.39,"Hasbro",24967
"THE AMAZING SPIDER-MAN Symbiote Strike SPIDER-MAN Figure",4625,39.14,26.77,"Hasbro",24967
"Sesame Street Elmo Bath Squirter",66769,11.99,8.36,"Hasbro",24967
"Scrabble Twist Game",93934,7.25,4.89,"Hasbro",24967
"Star Wars The Black Series Starkiller (Galen Marek) Figure",26416,14.99,10.4,"Hasbro",24967
"Transformers Battle Masters 2-Pack Game",39824,32.99,23.27,"Hasbro",24967
"STAR WARS OBI-WAN'S JEDI STARFIGHTER Vehicle",92540,24.99,17.17,"Hasbro",24967
"FurReal Friends Luvimals Sweet Singin' Kitty Pet",48890,9.99,6.92,"Hasbro",24967
"TRANSFORMERS OPTIMUS PRIME Cyber Sword",86698,24.99,17.67,"Hasbro",24967
"Star Wars Episode VII Nien Nunb",19234,10.99,7.52,"Hasbro",24967
"Transformers Generations Combiner Wars Deluxe Class Protectobot First Aid Figure",90334,18.99,12.72,"Hasbro",24967
"Marvel Universe Warpath",5613,11.99,8.39,"Hasbro",24967
"NERF N SPORTS NERFOOP Classic (Hangtime)",60343,26.95,18.44,"Hasbro",24967
"NERF N-STRIKE Elite HAIL-FIRE Upgrade Kit",51989,14.99,10.32,"Hasbro",24967
"TRANSFORMERS PRIME OPTIMUS PRIME Weaponizer Class",9865,14.99,10.21,"Hasbro",24967
"Nerf N-Strike Thunderblast Launcher",96624,24.99,17.3,"Hasbro",24967
"Star Wars The Clone Wars Clone Turbo Tank",54871,119.99,85.22,"Hasbro",24967
"BEYBLADE METAL MASTERS BB-102 SPIRAL CAPRICORN 90MF Top",98507,12.99,8.94,"Hasbro",24967
"Transformers Generations Deluxe Class Megatron Figure",9319,16.99,11.75,"Hasbro",24967
"Disney Princess Little Kingdom Classic Snow White",30889,6.99,4.76,"Hasbro",24967
"PLAYSKOOL ALPHIE Booster Pack - Letters",92682,9.99,6.81,"Hasbro",24967
"Beyblade Shogun Steel BeyBattle Tops SS-12 Archer Griffin C145S Top",36875,10.99,7.63,"Hasbro",24967
"FurReal Friends Snuggimals Snug-a-Hop Pink Bunny Pet",6433,39.99,26.9,"Hasbro",24967
"NERF SUPER SOAKER SHOTWAVE Blaster",6551,14.99,10.49,"Hasbro",24967
"My Little Pony Friendship is Magic Rainbow Dash Sightseeing Figure",32902,9.99,6.88,"Hasbro",24967
"Kre-O Transformers Micro-Changers Combiners Abominus Building Set",72470,10.99,7.65,"Hasbro",24967
"MARVEL UNIVERSE SCARLET WITCH Figure",44609,18.83,13.19,"Hasbro",24967
"PLAYSKOOL SESAME STREET Bert & Ernie Figures",83719,12.95,8.87,"Hasbro",24967
"G.I. Joe Retaliation Snake Eyes 12-Inch Figure",88035,12.99,8.83,"Hasbro",24967
"Littlest Pet Shop Pet Pawsabilities Mushroom Lee & Sneakers Stymie",50819,7.99,5.7,"Hasbro",24967
"BEYBLADE METAL MASTERS PERFORMANCE TOP SYSTEM HADES KERBECS Top",41213,10.6,7.14,"Hasbro",24967
"STAR WARS Movie Heroes LUKE SKYWALKER Figure",73640,7.55,5.04,"Hasbro",24967
"TONKA CHUCK & FRIENDS HANDY THE TOW TRUCK Vehicle",99697,8.95,5.97,"Hasbro",24967
"Transformers Generations Thrilling 30 Voyager Class Blitzwing",2036,48.25,32.43,"Hasbro",24967
"Transformers Generations Combiner Wars Deluxe Class Skydive Figure",30251,18.99,13.35,"Hasbro",24967
"Littlest Pet Shop Sweetest Sheepdog and Bee 2-Pack",65912,15.39,10.39,"Hasbro",24967
"FURBY (Red/Black)",62151,125,88,"Hasbro",24967
"Angry Birds Transformers Jenga Galvatron Pig Game",29853,19.99,13.73,"Hasbro",24967
"Transformers Age of Extinction Generations Leader Class Optimus Prime Figure with Trailer and Sideswipe Figure",73769,44.99,30.55,"Hasbro",24967
"Star Wars The Empire Strikes Back AT-AT Commander",59383,4.99,3.37,"Hasbro",24967
"Star Wars The Black Series Dak Ralter Figure",12914,14.99,10.29,"Hasbro",24967
"Marvel Guardians of the Galaxy Titan Hero Series Star-Lord Figure",10225,9.99,6.99,"Hasbro",24967
"Disney Frozen Snow Glimmer Vanity Set",99578,11.75,8.13,"Hasbro",24967
"Star Wars The Clone Wars 4A-7",6852,9.99,6.74,"Hasbro",24967
"Littlest Pet Shop Pet Pawsabilities Madame Pom LeBlanc & Paprika Price",76302,7.99,5.59,"Hasbro",24967
"Transformers Robots in Disguise Titan Heroes Bumblebee 12-Inch Figure",56055,10.99,7.44,"Hasbro",24967
"Star Wars Saga Legends: Darth Vader Sith Apprentice",40283,24.44,17.03,"Hasbro",24967
"My Little Pony Pinkie Pie's Rainbow Helicopter Playset",49823,16.99,11.96,"Hasbro",24967
"Transformers Age of Extinction Bumblebee Mask",29902,10.91,7.79,"Hasbro",24967
"My Little Pony Fluttershy and Sea Breezie Figures",24697,10.99,7.79,"Hasbro",24967
"THE AMAZING SPIDER-MAN Power Arms DOCTOR OCTOPUS Figure",56497,39.99,27.5,"Hasbro",24967
"Marvel Super Hero Mashers Agent Hobgoblin",27141,22.46,15.65,"Hasbro",24967
"Marvel Amazing Spider-Man 2 Spider Strike Web Shield Spider-Man Figure",98199,10.99,7.35,"Hasbro",24967
"Spider-Man Web Shield Spider-Man",66246,10.99,7.4,"Hasbro",24967
"Spider-Man Attack Cruiser",72501,54.9,38.31,"Hasbro",24967
"TRANSFORMERS RESCUE BOTS PLAYSKOOL HEROES WALKER CLEVELAND and Jackhammer",55983,18.95,13.17,"Hasbro",24967
"Marvel Ultimate Spider-Man Fighter Pods 2-Pack",15081,5.99,4.06,"Hasbro",24967
"Marvel Legends Infinite Series Marvel Now Iron Man",96940,21.99,15.07,"Hasbro",24967
"Beyblade Legends BB-28 Storm Pegasus 105RF Top",43952,19.99,13.87,"Hasbro",24967
"Jurassic World Bashers & Biters Allosaurus Figure",76478,9.5,6.64,"Hasbro",24967
"Marvel Super Hero Mashers Marvel's Electro Figure",30807,8.98,6.18,"Hasbro",24967
"Marvel Ultimate Spider-Man Power Webs Dragon Disc Iron Fist",96799,10.99,7.44,"Hasbro",24967
"Marvel Avengers Infinite Series Marvel's Hyperion Figure",9188,14.99,10.6,"Hasbro",24967
"Transformers Age of Extinction Construct-Bots Dinobot Riders Bumblebee Buildable Action Figure",79703,9.99,6.9,"Hasbro",24967
"Play-Doh Town Pet Store",95247,14.99,10.17,"Hasbro",24967
"Transformers Generations Combiner Wars Deluxe Class Decepticon Vortex",18347,18.99,12.89,"Hasbro",24967
"STAR WARS THE CLONE WARS BATTLE DROID",9436,3.98,2.66,"Hasbro",24967
"Star Wars The Clone Wars Battle Droid",34121,3.98,2.74,"Hasbro",24967
"Jurassic World Brawlasaurs Spinoraptor Figure",24234,8.99,6.05,"Hasbro",24967
"Marvel Avengers Titan Hero Series Marvel's Hawkeye Figure",31660,10.99,7.8,"Hasbro",24967
"Littlest Pet Shop Pet Pawsabilities Fleetly Greycloud & Loopy Greycloud",34560,5.36,3.59,"Hasbro",24967
"Marvel Universe Wolverine Figure",57927,19.95,13.93,"Hasbro",24967
"Blazing Team Echostrike FX Lion yo-yo",59027,14.99,10.26,"Hasbro",24967
"""Playskool Mr. Potato Head Transformers Mixable",21931,3.25,2.2,"Hasbro",24967
"Marvel Super Hero Mashers Spider-Man Figure",40753,10.99,7.55,"Hasbro",24967
"Nerf N-Strike Elite Jolt Blaster (Orange)",65555,6.99,4.88,"Hasbro",24967
"Marvel Captain America: Civil War Scope Vision Helmet",78682,19.99,13.68,"Hasbro",24967
"Marvel Power Hammer Game",54973,21.99,14.76,"Hasbro",24967
"Twister Rave Ringz - Rave Black",31479,4.99,3.52,"Hasbro",24967
"Marvel Avengers All Star Iron Man Figure",34568,3.21,2.24,"Hasbro",24967
"PLAYSKOOL SESAME STREET Sesame Street Pals - Cookie Monster",37096,5.25,3.57,"Hasbro",24967
"Transformers Generations Combiner Wars Deluxe Class Alpha Bravo Figure",42204,18.99,13.05,"Hasbro",24967
"MARVEL ULTIMATE SPIDER-MAN FIGHTER PODS Series 1 SPIDER-MAN Vs. VENOM Face-Off Pack",27447,10.99,7.42,"Hasbro",24967
"THE AMAZING SPIDER-MAN Flip and Attack Spider Racer",71703,70.46,47.64,"Hasbro",24967
"My Little Pony Equestria Girls Sunset Shimmer Friendship Games Doll",35745,14.99,10.29,"Hasbro",24967
"KRE-O TRANSFORMERS SENTINEL PRIME Construction Set",39762,44.99,30.53,"Hasbro",24967
"THE AMAZING SPIDER-MAN Capture Trap SPIDER-MAN Figure",8955,19.92,14.07,"Hasbro",24967
"Transformers Construct-Bots Elite Class Soundwave Buildable Action Figure",94001,16.99,11.83,"Hasbro",24967
"Marvel Super Hero Mashers Star-Lord Figure",39752,7.99,5.34,"Hasbro",24967
"Transformers Generations Combiner Wars Combiner Hunters Figure Set",15556,10.99,7.84,"Hasbro",24967
"DohVinci Peace Project Design Kit",85967,11.99,8.54,"Hasbro",24967
"SCRABBLE Folio Edition",44003,24.99,17.39,"Hasbro",24967
"Marvel Infinite Series Marvel's Beast Figure",44590,14.99,10.13,"Hasbro",24967
"PLAYSKOOL POPPIN' PARK RUMBLIN' ANIMALS Toy",67340,11.99,8.36,"Hasbro",24967
"Playskool Dressy Kids Boy",32474,19.99,13.37,"Hasbro",24967
"NERF N-STRIKE Whistler Darts (36-Pack)",47686,10.99,7.54,"Hasbro",24967
"STAR WARS VINTAGE CARBONITE CHAMBER 7-pack",6434,275.95,192.9,"Hasbro",24967
"Playskool Heroes Marvel Super Hero Adventures Flip Out Stunt Buggy With Spider-Man",92276,16.99,12.13,"Hasbro",24967
"TONKA CHUCK & FRIENDS Tower Racin' Speedway Playset",32741,21.99,15.3,"Hasbro",24967
"Nerf Rebelle Angel Aim Mini Blaster",17089,9.99,6.91,"Hasbro",24967
"Nerf N-Strike Elite Precision Target Set",38774,29.99,20.51,"Hasbro",24967
"Nerf Super Soaker FlashFlood Blaster",40759,21.99,14.83,"Hasbro",24967
"Marvel Infinite Series Whirlwind Figure",32823,14.99,10.13,"Hasbro",24967
"Playskool Heroes Marvel Super Hero Adventures Spider-Man Crane Capture Track Set",55601,59.39,40.23,"Hasbro",24967
"My Little Pony Equestria Girls Rainbow Rocks Applejack Doll",33781,14.99,10.54,"Hasbro",24967
"Marvel Universe - Wolverine",65076,16.99,12.12,"Hasbro",24967
"Marvel Captain America Super Soldier Gear Battle Helmet",42465,21.99,15.39,"Hasbro",24967
"DohVinci Memory Masterpiece Complete Ribbon Board Kit",28521,11.99,8.14,"Hasbro",24967
"Marvel Universe Elektra Figure",65633,11.99,8.06,"Hasbro",24967
"Transformers Construct-Bots Scout Class Bumblebee Buildable Action Figure",39797,10.99,7.57,"Hasbro",24967
"""Baby Alive Sips 'n Cuddles Brunette",98043,15.99,11.3,"Hasbro",24967
"""G.I. JOE Renegades",28696,2.99,2,"Hasbro",24967
"KRE-O Transformers Age of Extinction Galvatron Factory Battle Set",73512,21.99,15.55,"Hasbro",24967
"Star Wars Episode VII Admiral Ackbar",15047,10.99,7.39,"Hasbro",24967
"STAR WARS THE CLONE WARS CLONE COMMANDER CODY",48696,34.99,24.7,"Hasbro",24967
"STAR WARS THE CLONE WARS CLONE COMMANDER CODY",46675,34.99,23.65,"Hasbro",24967
"My Little Pony Friendship is Magic Collection Apple Strudel Figure",59362,6.99,4.87,"Hasbro",24967
"Star Wars The Black Series 6-Inch First Order Stormtrooper",79752,29.99,20.61,"Hasbro",24967
"Star Wars The Force Awakens 6-Inch First Order Stormtrooper",31502,29.99,20.46,"Hasbro",24967
"My Little Pony Princess Cutie Mark Magic Fashion Style Princess Cadance Figure",20326,16.99,11.52,"Hasbro",24967
"G.I. JOE JUNGLE-VIPER COBRA Jungle Trooper",30104,14.49,10.11,"Hasbro",24967
"Littlest Pet Shop Pet Pawsabilities Pepper Clark & Dawn Ferris",21442,3.16,2.15,"Hasbro",24967
"KRE-O Transformers Age of Extinction Micro-Changers Combiners Grimstone Construction Set",173,10.99,7.66,"Hasbro",24967
"MARVEL Super Hero Adventures PLAYSKOOL HEROES REPULSOR DRILL Vehicle with IRON MAN Figure",50970,24.49,16.91,"Hasbro",24967
"Marvel Universe Yellowjacket with Ant Man",89156,7.99,5.48,"Hasbro",24967
"Marvel Universe Yellowjacket with Ant Man",52099,7.99,5.49,"Hasbro",24967
"Play-Doh Magical Carriage Featuring Disney Princess Cinderella",89784,16.99,11.98,"Hasbro",24967
"Marvel Avengers Titan Hero Series Iron Patriot Figure with Arc Thruster Jet Vehicle",4901,21.99,15.21,"Hasbro",24967
"Marvel Infinite Series Doc Ock",94335,12.99,8.99,"Hasbro",24967
"Marvel Infinite Series Marvel's Death's Head Figure",56545,14.99,10.12,"Hasbro",24967
"Marvel Ultimate Spider-Man Web Warriors Blast 'N Go Racers Spider Racer",83834,7.99,5.4,"Hasbro",24967
"Marvel Avengers Age of Ultron Ultron 2.0 and Ultron Sentries",56780,8.99,6.05,"Hasbro",24967
"MARVEL Spider-Man Adventures PLAYSKOOL HEROES FLIP-OUT STUNT BUGGY with SPIDER-MAN Vehicle",37894,16.99,11.76,"Hasbro",24967
"Transformers Generations Leader Class Armada Megatron Figure",61310,46.99,31.79,"Hasbro",24967
"STAR WARS THE CLONE WARS GENERAL GRIEVOUS",20716,24.85,17.12,"Hasbro",24967
"Star Wars The Force Awakens 3.75-Inch Figure Snow Mission Armor Finn (Starkiller Base)",98097,6.99,4.67,"Hasbro",24967
"Star Wars Revenge of the Sith Anakin Skywalker",14106,8,5.71,"Hasbro",24967
"Star Wars Episode VII Finn FN-2187",44535,6.95,4.81,"Hasbro",24967
"Marvel Captain America Super Soldier Recon Rangefinder Accessory",89760,11.99,8.11,"Hasbro",24967
"Kre-O Star Trek Transporter Trouble Construction Set",59982,14.99,10.43,"Hasbro",24967
"Marvel Amazing Spider-Man 2 Spider Strike Power Charged Electro Figure",7190,10.99,7.74,"Hasbro",24967
"Transformers Construct-Bots Elite Class Wheeljack Buildable Action Figure",80908,16.99,11.41,"Hasbro",24967
"Star Wars Battleship Game",61029,19.99,13.8,"Hasbro",24967
"Transformers Age of Extinction Scorn Power Attacker",66767,14.99,10.28,"Hasbro",24967
"Star Wars The Black Series 6-Inch First Order TIE Fighter Pilot",84905,32.99,22.47,"Hasbro",24967
"Ultimate Spider-Man Vs. The Sinister Six: Agent Venom vs. Green Goblin",39060,14.99,10.41,"Hasbro",24967
"Disney Frozen Anna & Kristoff 2-Pack",99045,24.99,17.22,"Hasbro",24967
"My Little Pony Friendship is Magic Collection Peachy Sweet Figure",9825,6.99,4.9,"Hasbro",24967
"Star Wars The Force Awakens 3.75-Inch Figure Space Mission First Order General Hux",58725,7.99,5.62,"Hasbro",24967
"PLAYSKOOL SESAME STREET Oscar the Grouch's Garbage Truck",33192,29.99,20.54,"Hasbro",24967
"Furby Boom (Purple Houndstooth)",22751,109.99,74.3,"Hasbro",24967
"Mr. Potato Head Marvel Classic Scale Spider-Man Peter Parker",32499,14.99,10.16,"Hasbro",24967
"Star Wars Hero Mashers Rebels Garazeb Orrelios",86249,15.99,11.36,"Hasbro",24967
"PLAYSKOOL SESAME STREET Sesame Street Pals - Elmo",41199,4.95,3.39,"Hasbro",24967
"G.I. Joe Retaliation Kwinn Figure",84305,10.99,7.54,"Hasbro",24967
"STAR WARS RETURN OF THE JEDI The Vintage Collection NIKTO (Skiff Guard) Figure",17151,12.99,9.23,"Hasbro",24967
"STAR WARS The Vintage Collection DR. EVAZAN (Cantina Patron) Figure",28733,12.99,9.2,"Hasbro",24967
"STAR WARS The Vintage Collection DR. EVAZAN (Cantina Patron) Figure",53127,12.99,8.75,"Hasbro",24967
"FurReal Friends Lil' Big Paws Patootie Piggy",24935,29.94,21.16,"Hasbro",24967
"Playmation Marvel Avengers Marvel's Vision Hero Smart Figure",10157,14.99,10.36,"Hasbro",24967
"Disney Descendants Genie Chic Mal of Isle of the Lost",29248,19.99,14.28,"Hasbro",24967
"Marvel Spider-Man IRON SPIDER Color Shock Slinger",15307,21.99,15.01,"Hasbro",24967
"Marvel Legends Infinite Series Iron Fist Figure",42171,21.99,15.38,"Hasbro",24967
"PLAYSKOOL SESAME STREET Sesame Street Pals - Ernie",9534,10,7.13,"Hasbro",24967
"Star Wars The Black Series Emperor Palpatine Figure",45904,49.95,33.8,"Hasbro",24967
"PERFECTION FUN ON THE RUN Game",90920,5.99,4.14,"Hasbro",24967
"Marvel Universe Silver Surfer",39356,16.95,11.79,"Hasbro",24967
"My Little Pony Princess Cadance & Applejack Figures",79918,15.99,10.69,"Hasbro",24967
"Star Wars The Clone Wars Cad Bane",8737,32.99,23.13,"Hasbro",24967
"Magic The Gathering Return to Ravnica Intro Pack",20594,89.99,62.55,"Hasbro",24967
"NERF SUPER SOAKER MICROBURST Blaster",98365,9.95,7.04,"Hasbro",24967
"My Little Pony Equestria Girls Neon Rainbow Rocks DJ PON-3 Doll",47492,14.99,10.2,"Hasbro",24967
"Blazing Team Battlespin Wolf yo-yo",15907,8.99,6.27,"Hasbro",24967
"Transformers Robots in Disguise Titan Changers Optimus Prime Figure",28926,19.49,13.86,"Hasbro",24967
"Marvel Captain America Super Soldier Gear Shield Blitz Captain America Figure",33475,10.75,7.19,"Hasbro",24967
"Yo-Kai Watch Season 1 Yo-Kai Medallium Collection Book Pages",35038,14.99,10.67,"Hasbro",24967
"Transformers Generations Deluxe Class Chromia Figure",72766,16.99,11.53,"Hasbro",24967
"Littlest Pet Shop Love in Paris Pet Pair",52560,11.99,8.01,"Hasbro",24967
"Marvel Legends Series 3.75in Spider-Man Noir",41665,12.99,8.69,"Hasbro",24967
"STAR WARS THE CLONE WARS RIOT CONTROL CLONE TROOPER",8373,35,23.71,"Hasbro",24967
"Star Wars The Force Awakens RC BB-8",58158,45.99,31.05,"Hasbro",24967
